Date,Log_Return,Volume,RSI,MACD,MACD_Signal,ATR,Label
2020-02-20,-1.1609660933596693,-0.18067218245020852,-0.04846013860814831,-0.027874413062938967,-0.1604840993211775,-1.64065972304453,2
2020-02-21,-0.12677840183566705,-0.17426160533144508,-0.13400914709021045,-0.044521075517390256,-0.13929513644381422,-1.8874816614797727,2
2020-02-24,-0.07603128635047085,-0.18067218245020852,-0.18828638635374406,-0.06380954159748863,-0.12650117024368362,-2.1422749799604475,2
2020-02-25,-1.9865152733327727,-0.1763984643710329,-1.2740719426592322,-0.24514064700916785,-0.15534792386414364,-1.443228594600611,2
2020-02-26,-0.8547026469600129,-0.17105631677206334,-1.610580326030243,-0.4541303502909887,-0.22346845502695417,-1.3620154951289825,2
2020-02-27,-0.4296123004790892,-0.18067218245020852,-1.7653662409956767,-0.6473412551284434,-0.31960723569246685,-1.4914197410856254,2
2020-02-28,-2.0824792586753134,-0.18067218245020852,-2.3609659734533808,-0.9539029195606739,-0.4625908760320511,-0.8644659547208418,1
2020-03-02,-0.2331513629610189,-0.1785353234106207,-2.4163428239448588,-1.2011270888998598,-0.6302615137468482,-1.1271631597501564,0
2020-03-03,0.5204725928264281,-0.18067218245020852,-2.0409737557423457,-1.3416618724692344,-0.7946872017241395,-1.2454127392419894,0
2020-03-04,0.3085346990637706,-0.18067218245020852,-1.8198955152599896,-1.4129463766501151,-0.9415915571873136,-1.448315837980746,0
2020-03-05,-0.4903484878550441,-0.18067218245020852,-1.975404414142797,-1.490529778425062,-1.0758364353041439,-1.5529363584054132,2
2020-03-06,1.5776548567535655,-0.18067218245020852,-0.9182779546388254,-1.4119714108513222,-1.1663008116436393,-1.15666166517783,2
2020-03-09,-1.7235683279121583,-0.18067218245020852,-1.5132152583722296,-1.4682034347576205,-1.2507918871522477,-0.7211967490444866,2
2020-03-10,0.35762858107426976,-0.18067218245020852,-1.3062585371925726,-1.4684102001031643,-1.3184293112760743,-0.9405961169822952,2
2020-03-11,-0.05954253467256945,-0.18067218245020852,-1.327558794508883,-1.4565993027885724,-1.3699936717531707,-1.2746614293642557,2
2020-03-12,-4.733346390070235,-0.18067218245020852,-2.4381824529261578,-1.7750199627462055,-1.47987372127413,0.3981319204345217,2
2020-03-13,-2.2425781098065527,-0.18067218245020852,-2.746142230405759,-2.1552733611658232,-1.649733007153288,0.8226221728401365,2
2020-03-16,-5.569712342923711,-0.18067218245020852,-3.240579488205357,-2.772506413065388,-1.9186514277687325,2.3432826568507252,2
2020-03-17,0.5289874885008898,-0.18067218245020852,-3.0547933954422026,-3.1937935476707917,-2.2245853287320965,1.9259396328783152,1
2020-03-18,-4.291350386677542,-0.18067218245020852,-3.332404849214945,-3.727733630812863,-2.584411476239007,2.7626529155803015,1
2020-03-19,-0.6139683959426829,-0.18067218245020852,-3.365657748810975,-4.136236580156205,-2.9603162091098056,2.3269907647083414,1
2020-03-20,1.9085713568595575,-0.18067218245020852,-2.7691979179424213,-4.306719857102364,-3.2977839114471976,2.3297532641999563,1
2020-03-23,0.4292338456141748,-0.12938756550010086,-2.634884096976514,-4.36767820279439,-3.580896302334134,2.1600870747998235,1
2020-03-24,5.047084266876669,-0.18067218245020852,-1.1931254432348144,-4.069963737165387,-3.7432204181095656,3.303591965690245,1
2020-03-25,2.7356561613191794,-0.1678510282126816,-0.5345150875099611,-3.6157713469502273,-3.7751885430367556,3.6578687887655446,2
2020-03-26,-0.5146947692770398,-0.18067218245020852,-0.6289865585016844,-3.2525680178516763,-3.722482563689421,3.1652461706989254,0
2020-03-27,0.18620730685530032,5.130490960445316,-0.5830203472916221,-2.918965238935105,-3.6084170476643735,2.68919146716593,2
2020-03-30,-0.9899345281577552,1.4529565533146795,-0.7769975159631589,-2.6884668337242807,-3.4674857795319225,2.824351069626769,0
2020-03-31,0.03402489983125789,-0.10695054558442876,-0.7683086526035696,-2.47522587972751,-3.308781373287017,2.4564355160031055,1
2020-04-01,-0.7573939381565998,-0.16571416917309378,-0.9233739608524287,-2.328145588116413,-3.1501179303694387,2.212551930397178,1
2020-04-02,0.8626935644244123,-0.1763984643710329,-0.6633631953024854,-2.1317663228797925,-2.98086194998826,1.9441945612747498,1
2020-04-03,-0.7430611047457244,-0.17426160533144508,-0.8296415205460062,-2.0010137982863654,-2.8172763383796817,1.6531115360298572,1
2020-04-06,0.8729484722077905,-0.17426160533144508,-0.5549033523285059,-1.8203579138929016,-2.6474714515333218,1.4293694040511755,1
2020-04-07,0.801705414202026,-0.18067218245020852,-0.303899216168414,-1.6062492111725695,-2.4654811261890917,1.200661122827343,1
2020-04-08,-0.6968976531872348,-0.1785353234106207,-0.49191466722860927,-1.4656024552132287,-2.2895755549254018,0.9510503167486569,1
2020-04-09,0.921360882986243,-0.1796037529304146,-0.19188278319407534,-1.2789129512425594,-2.1086142865247046,0.8030569332237247,1
2020-04-13,0.07554129856632535,-0.17746689389082682,-0.16760914868584811,-1.1132690303212767,-1.9281443723844631,0.3444449743984785,1
2020-04-14,4.046334783307743,-0.15823516253453643,0.995093535640661,-0.6922394424477846,-1.693024785127749,1.5175579863576019,2
2020-04-15,-0.8404681349301235,-0.18067218245020852,0.6994227237944104,-0.4146353944904705,-1.445097676054945,1.331428084061665,2
2020-04-16,-0.6387086228032018,-0.1785353234106207,0.48236090101216944,-0.23742258279069384,-1.2085616697345518,1.1399723388882579,0
2020-04-17,-0.45692552713688234,-0.18067218245020852,0.32811874473306346,-0.12773330155574414,-0.9956917556353808,0.8155621550899796,0
2020-04-20,0.6167768884207034,-0.18067218245020852,0.5110308912670991,0.0023204164183725814,-0.7973656094304007,0.5771658970092728,2
2020-04-21,-1.9775054965773753,-0.18067218245020852,-0.13278163964115633,-0.03127758690513203,-0.6459460022028882,0.8980964052214128,1
2020-04-22,0.411850294705403,-0.1796037529304146,-0.003828463993103407,-0.029727733560328307,-0.5244762796625695,0.5653615553228174,1
2020-04-23,1.3227985938757925,-0.18067218245020852,0.40364552196120645,0.06230293611288032,-0.40746531743969927,0.6241308397188918,1
2020-04-24,-0.8182925111878077,-0.18067218245020852,0.12599309884206777,0.07713226761736507,-0.31066041182038817,0.4808680115117612,0
2020-04-27,0.1892168577651884,-0.18067218245020852,0.18654669927698314,0.10064393702770738,-0.22814906474680324,0.09181737513004198,0
2020-04-28,0.8891031962301187,-0.1763984643710329,0.47696149442935926,0.1793060291936038,-0.14518610538230295,0.01450819109860047,2
2020-04-29,0.19620336472215338,-0.1785353234106207,0.540743204569096,0.25246201746003627,-0.06304857562769031,-0.3365743999943371,2
2020-04-30,0.7959297972872595,-0.1796037529304146,0.8041761751248522,0.36310855795221664,0.02650887337142538,-0.41354231956696874,2
