Date,Log_Return,Volume,RSI,MACD,MACD_Signal,ATR,Label
2020-02-18,0.4076983630519352,-0.9224865404538901,1.5990732598488313,0.3926448906692258,0.32024987515288916,-2.583344559284062,2
2020-02-19,0.3129640969338247,-0.84820228633858,1.7290493422896511,0.4296976941671115,0.34634831865434607,-2.5718417017646535,2
2020-02-20,-0.08137950321321717,-0.9592081906014586,1.6608194978786366,0.44987668243594353,0.37150670857805695,-2.605706494474977,2
2020-02-21,0.1825400988718973,-0.9617310520619785,1.746137230470891,0.46776596880741295,0.39542744711799566,-2.6502541668075645,2
2020-02-26,-4.151339826320407,-0.791157585536823,-0.8695872162298325,0.31286916442154283,0.381712945735195,-2.2941988631030994,1
2020-02-27,-0.2705883067364381,-0.943790703898281,-0.9576409421586923,0.17756598578437147,0.3420457416694127,-2.293391778675078,1
2020-02-28,-0.6084910352051749,-0.9509388113697542,-1.1573341622640012,0.04731906983737421,0.2826887265141665,-2.2833839637164575,1
2020-03-02,1.6089729266424977,-0.7593414993402656,-0.3761639470744368,0.002331854588898852,0.22566205792678426,-2.2208101796521516,2
2020-03-03,-0.3454774040154646,-0.8055939594497984,-0.505529729269805,-0.04636464081195248,0.16971298861915932,-2.203758210883604,2
2020-03-04,1.2451600651467214,-0.5279390398225731,0.03983301648393335,-0.03755193948579494,0.12682276375167265,-2.153859896945295,2
2020-03-05,-0.5916271028735044,-0.958647554721343,-0.2083611226343431,-0.05345071286140305,0.08913871267974446,-2.1791485922597933,2
2020-03-06,4.0665932531870315,-0.9334189401161433,1.1273105362697444,0.10085988136370984,0.09171823839883203,-1.7287828912994774,2
2020-03-09,-7.402853842745587,-0.8923523618976794,-0.8822574604260428,-0.06539930050400022,0.05852099134845895,-1.1171164066049153,2
2020-03-10,1.7145450038924785,-0.9465938832988587,-0.5080818133522275,-0.13647120187698636,0.016889999686252807,-1.1356637491781947,2
2020-03-11,-1.3263859009534154,-0.901602853919586,-0.7347551283720338,-0.23733485620269165,-0.03780633378862846,-1.1568168595673551,2
2020-03-12,-2.208608942471973,-0.8938941105679972,-1.0616055888238014,-0.3860928911110679,-0.11311255964793211,-1.0559225743206082,0
2020-03-13,1.7838126817507571,-0.8330651175754602,-0.6881224002707922,-0.44142188848177594,-0.18509192053760914,-1.0830337746760297,2
2020-03-16,-1.9272070545162951,-0.9458930884487142,-0.9713017457109605,-0.5424388490512327,-0.26409946315464794,-1.0806946146400465,0
2020-03-17,0.9526327382179285,-0.9526207190101008,-0.7725081487317816,-0.586009708716457,-0.3365461677347571,-1.0555508170206678,0
2020-03-18,-1.7565657326043993,-0.6009618632076232,-1.0247089277491634,-0.6688617129659954,-0.4120750935919432,-1.0705475815945231,1
2020-03-19,0.6482861638130876,-0.6274519085430829,-0.8852746822852523,-0.7071087735169028,-0.48060981358420274,-1.141771503843017,0
2020-03-20,-1.0392020785103109,-0.7983056930082962,-1.0358051412006286,-0.7612095896181155,-0.5469114925141022,-1.0071012683894125,1
2020-03-23,1.3311453421280537,-0.5716686384715859,-0.74033313527201,-0.7550793942575587,-0.5986527209533798,-1.0073908122120856,1
2020-03-24,1.042275174024172,-0.9161793868025903,-0.505988549390585,-0.709100786222515,-0.6302943889604229,-1.0176169653371767,0
2020-03-25,-0.22574847480888316,-0.9608900982418052,-0.546368333552011,-0.6730091590522911,-0.6479532764131309,-1.1004826019716378,2
2020-03-26,-1.1674649791313882,-0.9058076230204526,-0.7643530319090909,-0.6746671215659881,-0.6624320132512811,-1.1804864029958149,1
2020-03-27,0.38977279755216393,-0.9199636789933702,-0.6636468609575068,-0.6568438366275297,-0.6702349739510043,-1.2630734226269271,1
2020-03-30,0.673496088633067,-0.8920720439576216,-0.4866177939165783,-0.614660177361918,-0.6675308746608838,-1.3476223255091169,1
2020-03-31,0.2020254561305949,-0.9592081906014586,-0.42813443419402114,-0.5687521251159172,-0.6556312442194018,-1.4121569880081415,1
2020-04-01,-1.6923892699591907,-0.9335590990861722,-0.7974214502743094,-0.5803096519321898,-0.6485627032760821,-1.4231686164666972,1
2020-04-02,0.8552578258013324,-0.9608900982418052,-0.5596216412170687,-0.5569444900390045,-0.6379524998085904,-1.494972288889606,1
2020-04-03,0.40823597380572796,-0.9485561088792631,-0.4410841515684324,-0.5200122492517968,-0.6216316096093394,-1.57081814303812,1
2020-04-06,2.108914376147797,-0.9247290839743524,0.1280521202961404,-0.41537835492089786,-0.5863837507372535,-1.5276976934312072,1
2020-04-07,0.7961402923752088,-0.7275254131437082,0.332910021884389,-0.30116864005915644,-0.5339634411800573,-1.5687138269778236,1
2020-04-08,0.21719622293462706,-0.8751128085841263,0.3933525905982487,-0.2010496354454334,-0.4707935814784885,-1.6567616195338006,1
2020-04-09,-0.8425247368329621,-0.8505849888290711,0.1180795647968548,-0.15098915476337543,-0.40964068019186534,-1.6590358842441904,1
2020-04-13,0.9290727813100248,-0.9621515289720651,0.3788585801585074,-0.07747637386464767,-0.3451274943035934,-1.7056939189425426,1
2020-04-14,1.2698825843051391,-0.8357281380060091,0.7162179687732785,0.027777075061230772,-0.2711944014301468,-1.6555598040364141,1
