Date,Log_Return,Volume,RSI,MACD,MACD_Signal,ATR,Label
2020-02-20,-0.25832933364872235,-0.8156904745566276,-0.1910364431272979,-0.14924292312780219,-0.1896141107973924,-1.068341525972503,2
2020-02-21,-0.40370638093838523,-0.5973978258370777,-0.4625184006924296,-0.17280080383647348,-0.1881396825014972,-1.1202604121960076,2
2020-02-24,-1.8408713954976477,0.8558046605387486,-1.33164071942826,-0.3312044802413609,-0.2203965267476706,-0.7723689792461758,2
2020-02-25,-1.546591488590077,1.0680770831225206,-1.8000561670830175,-0.5660269217507394,-0.2957691219317989,-0.568754013642934,2
2020-02-26,-1.6101845865859372,2.340134594730957,-2.149032527404751,-0.8582867841875654,-0.4177584040697994,-0.3611054456487863,2
2020-02-27,-1.8514782068785067,2.2940254199197176,-2.4408262000669585,-1.2040039606668715,-0.5883249874733556,-0.2213679653397992,2
2020-02-28,-0.1182994914517357,2.865058262370308,-2.4599319386048464,-1.4690662088096984,-0.7807284952392081,-0.11417016012538986,2
2020-03-02,0.8559695694910285,1.1611214928800537,-1.9620478525478593,-1.6024839899531556,-0.9628135805644452,-0.09093001797416912,2
2020-03-03,-1.247024772918255,0.8799856935830793,-2.179413305755958,-1.7722111751690917,-1.1443082404683678,0.10846425824260221,2
2020-03-04,1.007384033857788,0.16812211416830242,-1.6490895339393032,-1.8178588168660725,-1.299139427887853,0.10319500148493,2
2020-03-05,-1.8739493828975475,1.2388837901390735,-1.9857353257915076,-1.9565393872443788,-1.4522775443909677,0.3179170254194603,2
2020-03-06,0.5007518663622669,1.301764488904455,-1.7537216719762465,-2.0104033432903363,-1.586157824673351,0.41645171336788966,2
2020-03-09,-4.208203898776991,1.7190500177336387,-2.316288278021842,-2.290928957215837,-1.7524763497958984,0.868885521281175,2
2020-03-10,2.8242219136283166,1.4499671867708728,-1.326647824980785,-2.312106854842227,-1.890001472569186,1.1669207178666179,2
2020-03-11,-2.3095665678410313,1.536027633568397,-1.6434682507313727,-2.4440258591435,-2.0278674829858923,1.4071762189311194,2
2020-03-12,-5.8896896700301165,3.4912368768671307,-2.1766036744256683,-2.847640457877199,-2.2233566338608735,1.9799279603960358,1
2020-03-13,4.712439840823623,3.5622279842312317,-1.1398795746397696,-2.8723090760388397,-2.384955090401637,2.325328606143068,2
2020-03-16,-3.2113721375872175,2.863756591854464,-1.4479065205353858,-3.0381061419398043,-2.5492308643232553,2.7429263418325434,2
2020-03-17,-0.6449884413013058,1.8808326435778508,-1.5048532812485926,-3.1675257113529613,-2.7079698064397104,2.718670733491588,1
2020-03-18,-2.183552420188086,3.891700817491563,-1.6826215980136425,-3.3451521947177745,-2.87245496250219,3.236890108749824,1
2020-03-19,2.85983926834362,2.2989442325420892,-1.1415805926699967,-3.2972724673290688,-2.993936471614771,3.5741171274669465,1
2020-03-20,-4.186883462941588,2.4354944760791737,-1.4971442274481117,-3.4360281532055668,-3.1204107011072537,3.8116189597952554,1
2020-03-23,-0.08653293229822707,2.4716408650191464,-1.5053466333382408,-3.509415642794692,-3.2370809656577766,3.703066652718119,1
2020-03-24,5.745439984543277,2.508125187650732,-0.5459544612932904,-3.2281246804321975,-3.2710413240498646,4.081305355083715,2
2020-03-25,1.1382802853940577,2.0068443623616607,-0.3708806808614232,-2.906705903832067,-3.2303634419766634,4.233481011775097,2
2020-03-26,1.9326055468867118,1.5046123163110112,-0.0697187060958786,-2.5089171478228063,-3.113854532477469,4.148538255983423,2
2020-03-27,-3.7555155070276713,2.2644875120601835,-0.5374368870042168,-2.38275233427442,-2.9940161068391173,4.256766184505776,2
2020-03-30,1.495748747175521,1.3292497624890047,-0.31445809993362217,-2.1735002784436013,-2.853975730537183,4.260394352746363,0
2020-03-31,-1.3629179315252267,1.1344998276185159,-0.479734266562221,-2.0603081788345454,-2.7180504560463263,4.173528937399598,1
2020-04-01,-0.723383920613131,0.7265637975906337,-0.5667319048072536,-1.987100505653105,-2.5938573117561483,3.949555182919215,1
2020-04-02,0.9306260095722229,0.17993727731211615,-0.41442688009046835,-1.8563240802530137,-2.466898063567286,3.623478860528924,1
