Date,Log_Return,Volume,RSI,MACD,MACD_Signal,ATR,Label
2020-02-20,-0.37375646399284945,2.3222321713642664,-0.19078301548309798,-0.1501156800072522,-0.25072098207656585,-1.0976209079009855,2
2020-02-21,-0.16627021636522174,0.20806418723900927,-0.3246056868731316,-0.13486543892924863,-0.22853773353155774,-1.1024505995761644,2
2020-02-24,-0.8556703215966805,-1.0595479700992716,-0.9416446603682436,-0.14729341451287953,-0.21342321325330585,-1.100418862715556,2
2020-02-25,0.21392774003464682,-1.1423218455578563,-0.7408045629101956,-0.14898025385002597,-0.20168884698020761,-1.1130984630865333,2
2020-02-26,-0.29483407581050036,0.5019503891986811,-0.9358582329294511,-0.15738651378626808,-0.19408168708036153,-1.1145226698751411,0
2020-02-27,-0.7911443910910579,2.4966839555054885,-1.394809944976397,-0.18512722783236665,-0.19387107036634413,-1.0997456680806568,0
2020-02-28,-0.81059500095639,1.4756055371560253,-1.7664988815709728,-0.22737043342623325,-0.20264912141873542,-1.0867907995926747,0
2020-03-02,0.842750716108942,1.113938931190596,-1.0486311117955887,-0.2343735301594641,-0.21115472423062337,-1.084344307821608,0
2020-03-03,0.4952757329523834,1.2823543826689914,-0.6647312824672618,-0.22291129804220994,-0.2155316594370282,-1.0828392443365717,1
2020-03-04,0.2951458381835852,0.05570431853241396,-0.44090801458179646,-0.20271291368037553,-0.21475546067367463,-1.0902580354801437,1
2020-03-05,-0.6275131526236027,0.3111951963112324,-0.8138116392797159,-0.20291395551658237,-0.21417707962774,-1.0852639844678555,1
2020-03-06,-0.7537540505999435,1.3886894275534478,-1.1932421072581532,-0.2220600694789416,-0.21776926496079807,-1.0898263866113715,1
2020-03-09,0.8082331109484202,2.766690354643597,-0.6113452072465819,-0.21168653502762888,-0.2184460377493243,-1.0354146650746456,1
2020-03-10,1.7210202932489205,3.8084622418577063,0.382909859802106,-0.1493129267638877,-0.20577756223872115,-1.0013723140399262,2
2020-03-11,-0.6244710337490798,3.248074608112535,0.012284879055458888,-0.11806752494790985,-0.18902542475588283,-0.984711112114706,2
2020-03-12,-0.4109724673455113,2.5684472769573925,-0.21099324834188016,-0.10464826311544079,-0.1727816950784359,-0.9711566018348423,2
2020-03-13,0.2993267491142635,1.5464483621314864,-0.041304549386132365,-0.08393490798916768,-0.15539990050633584,-0.9497538750712337,2
2020-03-16,-0.6021716933322709,0.5684031540557228,-0.3729894224520366,-0.08475658739621574,-0.14166848552757375,-0.9547958355167246,2
2020-03-17,-0.992391263640894,0.5086239886528912,-0.8387713813727835,-0.11298309829825898,-0.13666135000951918,-0.9525778202390137,2
2020-03-18,-1.5303026486695137,1.4478667298755286,-1.3862859888803019,-0.1752069431218075,-0.14583381744833568,-0.9256023593077838,1
