Segmento,Baseline_Acc,Baseline_F1,MSRCNN_Acc,MSRCNN_F1
Commodities,0.3870541611624835,0.35732281989795567,0.313518273888155,0.21684952978056427
MegaCapsTech,0.36456953642384105,0.2715432992023921,0.3708609271523179,0.28055737459917607
TradicionaisGlobais,0.3870860927152318,0.2933310506966154,0.4099337748344371,0.26011066940682626
CambioGlobal,0.8270440251572327,0.3017785427423982,0.8270440251572327,0.3017785427423982
