Segmento,Baseline_Acc,Baseline_F1,MSRCNN_Acc,MSRCNN_F1
Commodities,0.37384412153236457,0.3596925369871676,0.3157199471598415,0.29485886671145267
MegaCapsTech,0.3658940397350993,0.26879729417573167,0.3754966887417219,0.28768667267495385
TradicionaisGlobais,0.41788079470198675,0.22226482104116405,0.4185430463576159,0.23608893600017014
CambioGlobal,0.8270440251572327,0.3017785427423982,0.8270440251572327,0.3017785427423982
