Segmento,Baseline_Acc,Baseline_F1,MSRCNN_Acc,MSRCNN_F1
BlueChips,0.3214765100671141,0.23636923758225148,0.33557046979865773,0.2615424317516132
SmallCaps,0.3406223717409588,0.22909630126017025,0.4415475189234651,0.24171039985932616
FIIs,0.6218905472636815,0.27179369203374965,0.6147832267235253,0.2776240180343659
BDRs,0.3221476510067114,0.24514508266403987,0.32406519654841803,0.2438883666333418
